,Unnamed: 0,Symbol,Name,Sector,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,2020-03-20,2020-03-27,2020-04-03,2020-04-10,2020-04-17,2020-04-24
0,0,MMM,3M Company,Industrials,155.8200,158.1000,163.1000,166.0900,170.0900,173.1500,171.8800,167.6000,169.7700,171.4700,168.7900,175.3700,177.2600,178.4500,180.4700,181.3500,178.1500,158.6600,160.0800,161.0100,156.9300,149.2400,153.6500,141.6800,124.8900,133.2400,133.7900,,146.4600,147.0000
1,1,AOS,A.O. Smith Corp,Industrials,45.5100,47.9900,51.0100,51.0700,50.2800,52.0800,50.7800,48.2000,48.4000,46.7900,46.5200,47.4200,47.8100,47.3500,47.6200,46.9300,45.4300,42.6900,41.9900,43.9300,44.0900,39.5500,42.6900,41.4900,34.7500,36.8500,35.8700,,41.0800,40.3900
2,2,ABT,Abbott Laboratories,Health Care,81.9900,79.6300,82.7900,81.6500,82.6600,83.7400,85.7100,83.7400,85.4500,85.4800,86.3500,86.6600,87.4000,85.8900,85.3600,89.0000,90.4000,87.1400,87.8700,89.6600,87.4500,77.0300,81.7400,81.6500,68.0000,74.5600,79.4500,,96.0100,94.0600
3,3,ABBV,AbbVie Inc.,Health Care,74.6600,73.6300,76.4600,76.5300,81.7500,85.2100,88.6300,86.0500,87.7300,86.9800,87.8400,89.2900,89.2000,88.7000,89.0600,88.0000,83.5400,81.0200,92.2900,94.0500,94.9600,85.7100,88.8200,85.3700,68.8200,72.6700,73.3700,,83.4500,83.5900
4,4,ACN,Accenture plc,Information Technology,189.6400,184.9700,187.0800,183.0700,188.2200,189.7000,196.8100,196.6600,201.1600,202.5500,206.6600,211.1000,212.2200,209.8000,207.6600,209.2000,208.5700,205.2100,211.5800,212.3700,211.8900,180.5900,178.7500,166.5100,149.9400,162.8800,152.1500,,175.0900,175.4600
5,5,ATVI,Activision Blizzard,Information Technology,55.4400,54.8200,54.5400,55.2600,55.8200,54.3000,53.4400,53.0400,54.8300,55.2100,58.6500,59.2200,59.1850,58.6700,58.9500,61.2400,59.4000,58.4800,61.5300,63.5200,63.3750,58.1300,59.9700,59.0400,52.0500,56.9600,59.9800,,66.8800,66.6500
6,6,AYI,Acuity Brands Inc,Industrials,121.1500,122.0200,122.9300,124.9000,125.9900,128.0800,128.3800,127.3100,130.7800,133.8000,130.8000,136.4800,137.7200,139.6300,121.2400,123.2800,121.4900,117.8700,117.7000,116.9000,115.7000,102.8600,103.0500,95.6800,76.5300,82.8200,75.0900,,86.3600,83.3400
7,7,ADBE,Adobe Systems Inc,Information Technology,276.9600,278.2900,265.5200,270.9800,277.8200,292.4600,297.5000,299.3000,309.5300,306.2300,317.9400,327.6100,330.7900,331.8100,339.8100,349.7400,351.3700,351.1400,366.0900,379.6700,372.9500,345.1200,336.7700,335.5000,295.3400,305.8300,293.6100,,344.1100,344.1000
8,8,AAP,Advance Auto Parts,Consumer Discretionary,159.9400,158.5600,163.5000,165.5600,164.8200,167.4000,162.6600,157.8700,157.0800,154.6200,155.2100,158.1200,158.3500,159.4200,149.0100,151.0500,141.6800,131.7500,132.9300,133.5900,140.6100,132.9800,127.9100,113.6900,75.0300,95.6000,84.6500,,118.8600,117.5900
9,9,AMD,Advanced Micro Devices Inc,Information Technology,29.0100,29.7500,30.9700,32.7100,34.8900,36.2900,38.5600,39.1500,39.1500,39.6300,41.1500,44.1500,46.1800,48.6000,48.1650,50.9300,50.3500,47.0000,49.7300,55.3100,53.2800,45.4800,48.5900,43.9000,39.6100,46.5800,42.5900,,56.6000,56.1800
10,10,AES,AES Corp,Utilities,16.0300,16.0100,16.3800,16.8000,17.5100,17.6400,18.4500,18.8300,18.9100,18.7200,18.9200,19.8100,19.9800,19.8000,20.1800,20.5000,20.3800,19.8600,20.5000,20.9300,20.7500,16.7300,16.8200,13.0000,11.8700,13.4500,12.2400,,13.1200,12.8600
11,12,AMG,Affiliated Managers Group Inc,Financials,76.4700,75.9700,74.5800,77.3400,82.1500,86.8600,85.0000,84.4100,85.3700,85.4300,85.1100,84.5000,84.9500,82.9500,82.9300,85.6400,82.9100,79.8500,81.5200,82.9000,88.7800,75.2200,70.4900,57.1700,48.7700,56.3600,55.3600,,62.9500,60.2900
