Symbol,Name,Sector,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-24
MMM,3M Company,Industrials,164.9900,169.7700,176.4200,158.6600,149.2400,136.5100,
AOS,A.O. Smith Corp,Industrials,49.6800,48.4000,47.6400,42.6900,39.5500,37.8100,
ABT,Abbott Laboratories,Health Care,83.6100,85.4500,86.8600,87.1400,77.0300,78.9100,
ABBV,AbbVie Inc.,Health Care,79.5500,87.7300,88.5400,81.0200,85.7100,76.1900,
ACN,Accenture plc,Information Technology,185.4200,201.1600,210.5700,205.2100,180.5900,163.2600,
ATVI,Activision Blizzard,Information Technology,56.0300,54.8300,59.4200,58.4800,58.1300,59.4800,66.6500
AYI,Acuity Brands Inc,Industrials,124.7900,130.7800,138.0000,117.8700,102.8600,85.6600,
ADBE,Adobe Systems Inc,Information Technology,277.9300,309.5300,329.8100,351.1400,345.1200,318.2400,344.1000
AAP,Advance Auto Parts,Consumer Discretionary,162.4800,157.0800,160.1600,131.7500,132.9800,93.3200,
AMD,Advanced Micro Devices Inc,Information Technology,33.9300,39.1500,45.8600,47.0000,45.4800,45.4800,56.1800
AES,AES Corp,Utilities,17.0500,18.9100,19.9000,19.8600,16.7300,13.6000,
AET,Aetna Inc,Health Care,,,,,,,
AMG,Affiliated Managers Group Inc,Financials,79.8800,85.3700,84.7400,79.8500,75.2200,59.1400,
AFL,AFLAC Inc,Financials,53.1600,54.8400,52.9000,51.5700,42.8500,34.2400,
A,Agilent Technologies Inc,Health Care,75.7500,80.7700,85.3100,82.5600,77.0700,71.6200,
APD,Air Products & Chemicals Inc,Materials,213.2600,236.3300,234.9900,238.7100,219.6100,199.6100,
AKAM,Akamai Technologies Inc,Information Technology,86.5000,87.1200,86.3800,93.3500,86.5100,91.4900,102.7800
ALK,Alaska Air Group Inc,Industrials,69.4300,69.0100,67.7500,64.5900,50.4600,28.4700,
ALB,Albemarle Corp,Materials,60.7400,65.3800,73.0400,80.2800,81.8500,56.3700,
ARE,Alexandria Real Estate Equities Inc,Real Estate,158.7500,162.5200,161.5800,163.2000,151.8800,137.0600,
ALXN,Alexion Pharmaceuticals,Health Care,105.4000,113.9400,108.1500,99.3900,94.0300,89.7900,108.1200
ALGN,Align Technology,Health Care,252.2900,277.3400,279.0400,257.1000,218.3500,173.9500,191.9700
ALLE,Allegion,Industrials,116.0400,120.0300,124.5400,129.3200,114.9900,92.0200,
AGN,"Allergan, Plc",Health Care,176.1100,184.9400,191.1700,186.6400,190.6700,177.1000,
ADS,Alliance Data Systems,Information Technology,100.0000,106.9100,112.2000,102.7900,85.8800,33.6500,
LNT,Alliant Energy Corp,Utilities,53.3400,53.0000,54.7200,59.3600,52.1200,48.2900,49.9800
ALL,Allstate Corp,Financials,106.4200,111.3500,112.4500,118.5400,105.2500,91.7300,
GOOGL,Alphabet Inc Class A,Information Technology,1258.8000,1304.0900,1339.3900,1432.7800,1339.2500,1161.9500,1276.6000
GOOG,Alphabet Inc Class C,Information Technology,1260.1100,1304.9600,1337.0200,1434.2300,1339.3300,1162.8100,1279.3100
MO,Altria Group Inc,Consumer Staples,44.7900,49.7000,49.9100,47.5300,40.3700,38.6700,
AMZN,Amazon.com Inc.,Consumer Discretionary,1776.6600,1800.8000,1847.8400,2008.7200,1883.7500,1949.7200,2410.2200
AEE,Ameren Corp,Utilities,77.7000,74.3300,76.8000,82.0500,79.0000,72.8300,
AAL,American Airlines Group,Industrials,30.0600,28.7400,28.6800,26.8400,19.0500,12.1900,10.3100
AEP,American Electric Power,Utilities,94.3900,91.3500,94.5100,104.2200,89.2600,79.9800,
AXP,American Express Co,Financials,117.2800,120.1200,124.4900,129.8700,109.9300,85.6100,
AIG,"American International Group, Inc.",Financials,52.9600,52.6600,51.3300,50.2600,42.1600,24.2500,
AMT,American Tower Corp A,Real Estate,218.0800,214.0300,229.8200,231.7400,226.8000,217.7500,
AWK,American Water Works Company Inc,Utilities,123.2700,121.0300,122.8500,136.2000,123.6600,119.5600,
AMP,Ameriprise Financial,Financials,150.8900,163.8700,166.5800,165.4100,141.3000,102.4800,
ABC,AmerisourceBergen Corp,Health Care,85.3800,87.9100,85.0200,85.5600,84.3200,88.5000,
AME,AMETEK Inc.,Industrials,91.6500,99.0100,99.7400,97.1500,86.0000,72.0200,
AMGN,Amgen Inc.,Health Care,213.2500,234.7200,241.0700,216.0500,199.7300,202.7300,236.2800
APH,Amphenol Corp,Information Technology,100.3300,104.0000,108.2300,99.4700,91.6800,72.8800,
APC,Anadarko Petroleum Corp,Energy,,,,,,,
ADI,"Analog Devices, Inc.",Information Technology,106.6300,112.9500,118.8400,109.7500,109.0500,89.6500,105.9200
ANDV,Andeavor,Energy,,,,,,,
ANSS,ANSYS,Information Technology,220.1500,254.6900,257.4100,274.3300,242.1900,232.4700,259.4500
ANTM,Anthem Inc.,Health Care,269.0800,288.6600,302.0300,265.2800,257.0900,227.0400,
AON,Aon plc,Financials,193.1600,203.6100,208.2900,220.2500,208.0000,165.0400,
APA,Apache Corporation,Energy,21.6600,22.2800,25.5900,27.4400,24.9200,4.1800,
AIV,Apartment Investment & Management,Real Estate,54.8800,53.7700,51.6500,52.7100,47.8400,35.1500,
AAPL,Apple Inc.,Information Technology,248.7600,267.2500,293.6500,309.5100,273.3600,254.2900,282.9700
AMAT,Applied Materials Inc.,Information Technology,54.2600,57.9000,61.0400,57.9900,58.1200,45.8200,51.7400
APTV,Aptiv Plc,Consumer Discretionary,89.5500,93.8800,94.9700,84.7900,78.1100,49.2400,
ADM,Archer-Daniels-Midland Co,Consumer Staples,42.0400,42.9300,46.3500,44.7600,37.6500,35.1800,
ARNC,Arconic Inc.,Industrials,,,,,,,
AJG,Arthur J. Gallagher & Co.,Financials,91.2200,93.2700,95.2300,102.5700,97.4900,81.5100,
AIZ,Assurant Inc.,Financials,126.0700,132.8700,131.0800,130.5600,120.5900,104.0900,
T,AT&T Inc.,Telecommunication Services,38.4900,37.3800,39.0800,37.6200,35.2200,29.1500,
ADSK,Autodesk Inc.,Information Technology,147.3600,180.9000,183.4600,196.8500,190.8800,156.1000,
ADP,Automatic Data Processing,Information Technology,162.2300,170.7800,170.5000,171.3900,154.7400,136.6800,
AZO,AutoZone Inc,Consumer Discretionary,1144.3800,1177.9200,1191.3100,1057.9600,1032.5100,846.0000,
AVB,"AvalonBay Communities, Inc.",Real Estate,217.6600,214.4100,209.7000,216.6900,200.5900,147.1700,
AVY,Avery Dennison Corp,Materials,127.8600,130.3700,130.8200,131.2400,114.4900,101.8700,
BHGE,"Baker Hughes, a GE Company",Energy,21.4000,22.4200,25.6300,21.6600,16.0900,10.5000,13.5700
BLL,Ball Corp,Materials,69.9700,66.0600,64.6700,72.1800,70.4600,64.6600,
BAC,Bank of America Corp,Financials,31.2700,33.3200,35.2200,32.8300,28.5000,21.2300,
BAX,Baxter International Inc.,Health Care,76.7000,81.9700,83.6200,89.2200,83.4700,81.1900,
BBT,BB&T Corporation,Financials,,,,,,,
BDX,Becton Dickinson,Health Care,256.0000,258.5000,271.9700,275.1800,237.8200,229.7700,
BRK.B,Berkshire Hathaway,Financials,212.5800,220.3000,226.5000,224.4300,206.3400,182.8300,
BBY,Best Buy Co. Inc.,Consumer Discretionary,71.8300,80.6400,87.8000,84.6900,75.6500,57.0000,
BIIB,Biogen Inc.,Health Care,298.7100,299.8100,296.7300,268.8500,308.3900,316.3800,
BLK,BlackRock,Financials,461.7000,494.9100,502.7000,527.3500,463.0100,439.9700,
HRB,Block H&R,Financials,24.9900,24.3800,23.4800,23.2000,20.6700,14.0800,
BA,Boeing Company,Industrials,339.9100,366.1800,325.7600,318.2700,275.1100,149.1400,
BKNG,Booking Holdings Inc,Consumer Discretionary,2048.7700,1904.0300,2053.7300,1830.5500,1695.6600,1345.3200,
BWA,BorgWarner,Consumer Discretionary,41.6800,42.0500,43.3800,34.2900,31.6000,24.3700,
BXP,Boston Properties,Real Estate,137.2000,138.5400,137.8600,143.3500,128.9400,92.2300,
BSX,Boston Scientific,Health Care,41.7000,43.2500,45.2200,41.8700,37.3900,32.6300,
BHF,Brighthouse Financial Inc,Financials,37.7600,41.1600,39.2300,38.9000,35.8400,24.1700,
BMY,Bristol-Myers Squibb,Health Care,57.3700,56.9400,64.1900,62.9500,59.0600,55.7400,
